sample_id,i5_primer,i7_primer,primer_combo
indiv3,i503,i701,i701_i503
indiv11,i503,i702,i702_i503
indiv12,i504,i702,i702_i504
indiv14,i506,i702,i702_i506
indiv28,i504,i704,i704_i504
indiv29,i505,i704,i704_i505
indiv4,i504,i701,i701_i504
indiv5,i505,i701,i701_i505
indiv27,i503,i704,i704_i503
indiv34,i502,i705,i705_i502
indiv35,i503,i705,i705_i503
indiv39,i507,i705,i705_i507
indiv40,i508,i705,i705_i508
indiv42,i502,i706,i706_i502
indiv43,i503,i706,i706_i503
indiv48,i508,i706,i706_i508
indiv50,i502,i707,i707_i502
indiv51,i503,i707,i707_i503
indiv52,i504,i707,i707_i504
indiv53,i505,i707,i707_i505
indiv54,i506,i707,i707_i506
indiv55,i507,i707,i707_i507
indiv57,i501,i708,i708_i501
indiv58,i502,i708,i708_i502
indiv59,i503,i708,i708_i503
indiv61,i505,i708,i708_i505
indiv63,i507,i708,i708_i507
indiv37,i505,i705,i705_i505
indiv41,i501,i706,i706_i501
indiv44,i504,i706,i706_i504
indiv56,i508,i707,i707_i508
indiv60,i504,i708,i708_i504
indiv33,i501,i705,i705_i501
indiv36,i504,i705,i705_i504
indiv38,i506,i705,i705_i506
indiv45,i505,i706,i706_i505
indiv46,i506,i706,i706_i506
indiv47,i507,i706,i706_i507
indiv65,i501,i709,i709_i501
indiv67,i503,i709,i709_i503
indiv72,i508,i709,i709_i508
indiv77,i505,i710,i710_i505
indiv78,i506,i710,i710_i506
indiv79,i507,i710,i710_i507
indiv81,i501,i711,i711_i501
indiv82,i502,i711,i711_i502
indiv83,i503,i711,i711_i503
indiv84,i504,i711,i711_i504
indiv85,i505,i711,i711_i505
indiv68,i504,i709,i709_i504
indiv69,i505,i709,i709_i505
indiv70,i506,i709,i709_i506
indiv75,i503,i710,i710_i503
indiv76,i504,i710,i710_i504
indiv86,i506,i711,i711_i506
indiv87,i507,i711,i711_i507
indiv88,i508,i711,i711_i508
indiv73,i501,i710,i710_i501
indiv90,i502,i712,i712_i502
