plate_num,plate_file,location,host_name,para_name,indiv_name,plate_col,plate_row,plate_rowcol,calculated_concentration,libprep_plate,libprep_col,libprep_row,libprep_rowcol,vol_to_transfer,i7,i5,final_conc
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv1,3,G,G3,10.264332587028,1,1,A,A1,9.7,1,1,0.05672264889724
1,hyp_la_pu_270619,lincoln,asw,m_hyp,indiv2,1,F,F1,15,1,1,B,B1,9.7,1,2,0.456703267030202
2,hyp_results_010719,lincoln,asw,m_hyp,indiv3,1,E,E1,5.7,1,1,C,C1,9.7,1,3,33.2827877311224
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv4,3,F,F3,18.1504760011308,1,1,D,D1,9.7,1,4,22.3987427286311
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv5,1,F,F1,18.2613293521409,1,1,E,E1,9.7,1,5,11.1922380614997
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv6,1,E,E1,5.03355999873083,1,1,F,F1,9.7,1,6,0.064801329194726
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv7,1,G,G1,2.96867540090888,1,1,G,G1,9.7,1,7,0.040737175117109
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv8,4,A,A4,12.8542416322109,1,1,H,H1,9.7,1,8,31.4810701379682
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv9,2,F,F2,1.92148593271677,1,2,A,A2,9.7,2,1,24.0045093528675
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv10,2,B,B2,4.61705780346209,1,2,B,B2,9.7,2,2,27.3623182807692
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv11,6,A,A6,9.81118910198533,1,2,C,C2,9.7,2,3,30.6396841793258
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv12,6,F,F6,12.4647964600502,1,2,D,D2,9.7,2,4,29.6040661199141
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv13,1,C,C1,3.67436256331919,1,2,E,E2,9.7,2,5,0.632543478611647
5,pupae_larvae240719_results,lincoln,asw,m_hyp,indiv14,1,C,C1,11.346826693462,1,2,F,F2,9.7,2,6,25.3421325459533
5,pupae_larvae240719_results,lincoln,asw,m_hyp,indiv15,1,H,H1,6.93532734684624,1,2,G,G2,9.7,2,7,0.02887698489314
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv16,5,B,B5,8.89099153759462,1,2,H,H2,9.7,2,8,0.045378119117792
5,pupae_larvae240719_results,lincoln,asw,m_hyp,indiv17,3,D,D3,15.4988744520719,1,3,A,A3,9.7,3,1,-0.002062641778081
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv18,1,A,A1,1.45182370342031,1,3,B,B3,9.7,3,2,32.3117991140905
2,hyp_results_010719,lincoln,asw,m_hyp,indiv19,1,G,G1,9.5,1,3,C,C3,9.7,3,3,40.8311972048263
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv20,3,B,B3,19.9907726215183,1,3,D,D3,9.7,3,4,39.127455096131
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv21,1,E,E1,15.9758181654367,1,3,E,E3,9.7,3,5,38.7218022131083
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv22,2,E,E2,2.80540316958199,1,3,F,F3,9.7,3,6,7.55201909681557
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv23,5,E,E5,12.7108021844308,1,3,G,G3,9.7,3,7,42.4489959061015
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv24,1,H,H1,2.14543223194321,1,3,H,H3,9.7,3,8,-0.001031320889041
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv25,5,G,G5,10.5555256567164,1,4,A,A4,9.7,4,1,0.040909061931949
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv26,2,H,H2,15.5203718401944,1,4,B,B4,9.7,4,2,27.9991589297519
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv27,1,D,D1,8.61790652438939,1,4,C,C4,9.7,4,3,27.5577535892425
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv28,2,D,D2,8.58317679453315,1,4,D,D4,9.7,4,4,31.1476097171784
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv29,1,B,B1,8.62685216616291,1,4,E,E4,9.7,4,5,32.4840297025603
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv30,8,F,F8,5.63443214641083,1,4,F,F4,9.7,4,6,7.03945261496233
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv31,1,G,G1,9.88166747430935,1,4,G,G4,9.7,4,7,23.8131993279504
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv32,7,A,A7,9.56127321441181,1,4,H,H4,9.7,4,8,7.10631658593514
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv33,3,D,D3,4.42492325511354,2,1,A,A1,9.7,5,1,2.43721600305651
3,larvae_results_040719,lincoln,asw,m_hyp,indiv34,2,B,B2,5.2,2,1,B,B1,9.7,5,2,0.972612171670762
1,hyp_la_pu_270619,lincoln,asw,m_hyp,indiv35,1,E,E1,19,2,1,C,C1,9.7,5,3,2.97908909760854
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv36,3,C,C3,4.83693107498231,2,1,D,D1,9.7,5,4,0.971399249243114
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv37,3,H,H3,7.9292075667108,2,1,E,E1,9.7,5,5,9.67502735944292
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv38,3,A,A3,2.57998215342744,2,1,F,F1,9.7,5,6,0.454087833850964
1,hyp_la_pu_270619,lincoln,asw,m_hyp,indiv39,1,B,B1,6,2,1,G,G1,9.7,5,7,1.66185534118211
2,hyp_results_010719,lincoln,asw,m_hyp,indiv40,1,A,A1,6.67,2,1,H,H1,9.7,5,8,1.3649925770151
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv41,4,F,F4,10.133993935028,2,2,A,A2,9.7,6,1,20.6095230446955
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv42,3,B,B3,8.46784289281348,2,2,B,B2,9.7,6,2,3.13070440106462
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv43,8,B,B8,7.34039989242382,2,2,C,C2,9.7,6,3,0.834035784311904
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv44,4,G,G4,12.0722082864406,2,2,D,D2,9.7,6,4,31.9454960534998
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv45,2,C,C2,3.50519146427984,2,2,E,E2,9.7,6,5,4.13136540387476
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv46,2,H,H2,3.53658186746398,2,2,F,F2,9.7,6,6,0.655129726233728
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv47,2,G,G2,3.26151204806293,2,2,G,G2,9.7,6,7,2.44843553551226
5,pupae_larvae240719_results,lincoln,asw,m_hyp,indiv48,2,E,E2,9.16561047723443,2,2,H,H2,9.7,6,8,19.1382481399577
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv49,3,B,B3,4.7155127145676,2,3,A,A3,9.7,7,1,0.050184665443963
2,hyp_results_010719,lincoln,asw,m_hyp,indiv50,1,H,H1,6.9,2,3,B,B3,9.7,7,2,17.3934592277851
1,hyp_la_pu_270619,lincoln,asw,m_hyp,indiv51,1,D,D1,15,2,3,C,C3,9.7,7,3,2.29136208113176
3,larvae_results_040719,lincoln,asw,m_hyp,indiv52,2,E,E2,8.13,2,3,D,D3,9.7,7,4,3.44303192618415
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv53,1,H,H1,5.6658938742928,2,3,E,E3,9.7,7,5,8.83993026800683
3,larvae_results_040719,lincoln,asw,m_hyp,indiv54,1,G,G1,9.2,2,3,F,F3,9.7,7,6,4.10680372471488
5,pupae_larvae240719_results,lincoln,asw,m_hyp,indiv55,1,D,D1,6.77058312667561,2,3,G,G3,9.7,7,7,8.11611880930749
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv56,5,A,A5,8.66768410002759,2,3,H,H3,9.7,7,8,21.4758528886436
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv57,2,G,G2,9.66980458037322,2,4,A,A4,9.7,8,1,19.965764466221
5,pupae_larvae240719_results,lincoln,asw,m_hyp,indiv58,3,F,F3,11.0468743425107,2,4,B,B4,9.7,8,2,14.5573433613357
3,larvae_results_040719,lincoln,asw,m_hyp,indiv59,3,E,E3,10.2,2,4,C,C4,9.7,8,3,8.50728629222418
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv60,5,D,D5,5.1562363712075,2,4,D,D4,9.7,8,4,29.1284837152858
3,larvae_results_040719,lincoln,asw,m_hyp,indiv61,2,C,C2,11.5,2,4,E,E4,9.7,8,5,3.12979470924389
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv62,1,F,F1,1.02794792351101,2,4,F,F4,9.7,8,6,0.100520946191382
2,hyp_results_010719,lincoln,asw,m_hyp,indiv63,1,F,F1,7,2,4,G,G4,9.7,8,7,3.8081215769064
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv64,1,B,B1,4.7645997208891,2,4,H,H4,9.7,8,8,0.168747832746619
1,hyp_la_pu_270619,lincoln,asw,m_hyp,indiv65,1,C,C1,7.2,3,1,A,A1,9.7,9,1,36.3074113463039
3,larvae_results_040719,lincoln,asw,m_hyp,indiv66,1,C,C1,12.3,3,1,B,B1,9.7,9,2,0.240187097538914
3,larvae_results_040719,lincoln,asw,m_hyp,indiv67,2,H,H2,13.3,3,1,C,C1,9.7,9,3,32.8467713222191
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv68,4,A,A4,15.5197966254617,3,1,D,D1,9.7,9,4,33.1629669949286
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv69,4,C,C4,20.4350047356842,3,1,E,E1,9.7,9,5,33.837923142443
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv70,4,B,B4,8.77247899610803,3,1,F,F1,9.7,9,6,31.6462006756854
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv71,3,A,A3,7.86633062906254,3,1,G,G1,9.7,9,7,30.3352047711439
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv72,5,F,F5,6.36647775585136,3,1,H,H1,9.7,9,8,39.6641932532756
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv73,2,D,D2,2.59922369810854,3,2,A,A2,9.7,10,1,34.026424408866
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv74,3,C,C3,6.67792567142009,3,2,B,B2,9.7,10,2,0.257456245817661
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv75,3,D,D3,8.9981155067312,3,2,C,C2,9.7,10,3,31.4774008319466
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv76,4,H,H4,17.2030646437536,3,2,D,D2,9.7,10,4,31.7867861363208
3,larvae_results_040719,lincoln,asw,m_hyp,indiv77,1,F,F1,10,3,2,E,E2,9.7,10,5,32.7219956452192
3,larvae_results_040719,lincoln,asw,m_hyp,indiv78,1,A,A1,9.13,3,2,F,F2,9.7,10,6,26.1113170386266
4,pupaequbit170719_results,lincoln,asw,m_hyp,indiv79,2,E,E2,9.48304405319177,3,2,G,G2,9.7,10,7,22.7715610524931
2,hyp_results_010719,lincoln,asw,m_hyp,indiv80,2,B,B2,5.67,3,2,H,H2,9.7,10,8,38.794411925884
2,hyp_results_010719,lincoln,asw,m_hyp,indiv81,1,C,C1,6.5,3,3,A,A3,9.7,11,1,5.82760786175555
3,larvae_results_040719,lincoln,asw,m_hyp,indiv82,2,A,A2,11.3,3,3,B,B3,9.7,11,2,31.3635703897712
5,pupae_larvae240719_results,lincoln,asw,m_hyp,indiv83,1,G,G1,9.95499844401709,3,3,C,C3,9.7,11,3,34.8176432729612
5,pupae_larvae240719_results,lincoln,asw,m_hyp,indiv84,3,H,H3,6.40730978594161,3,3,D,D3,9.7,11,4,41.4954526531444
3,larvae_results_040719,lincoln,asw,m_hyp,indiv85,2,G,G2,8.1,3,3,E,E3,9.7,11,5,19.6497368530886
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv86,5,B,B5,13.4910329341546,3,3,F,F3,9.7,11,6,23.8801917265006
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv87,5,F,F5,26.7189324339322,3,3,G,G3,9.7,11,7,36.1009112492805
7,lucerne_270919_results,lincoln,lw,m_aeth_m,indiv88,1,H,H1,9.25879281073128,3,3,H,H3,9.7,11,8,25.4801418304104
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv89,1,D,D1,1.45744167267027,3,4,A,A4,9.7,12,1,0.585326835673313
6,ruakura_m_hyp_250919_results,ruakura,asw,m_hyp,indiv90,2,A,A2,3.26088002652231,3,4,B,B4,9.7,12,2,4.12452932305431
